Date,HSI,SSE,FCHI,FTSE,GDAXI,DJI,IXIC
2019-03-08,3596.0688123950385,442.33198590123357,5858.094858726079,9301.256225745195,12830.871178070549,25450.240234375,7408.14013671875
2019-03-11,3631.1326716569592,450.4051363997787,5914.948134710314,9261.481757260162,12966.123702646233,25650.880859375,7558.06005859375
2019-03-12,3684.421645836553,455.0303733253057,5933.897145062685,9474.29800513282,12975.331151013961,25554.66015625,7591.02978515625
2019-03-13,3669.9165241442365,451.2718068054127,5989.547649965156,9354.76297131297,13062.295498350635,25702.890625,7643.41015625
2019-03-14,3675.52388489805,445.96485950351763,6061.867537239916,9546.293959240546,13129.831394012785,25709.939453125,7630.91015625
2019-03-15,3696.0178145111986,449.53154261007126,6112.540612510638,9583.68100503902,13214.621828046162,25848.869140625,7688.52978515625
2019-03-18,3746.6091228524433,461.27068698214134,6127.200238662073,9705.866527868202,13195.525658558705,25914.099609375,7714.47998046875
2019-03-19,3753.895409090036,461.12620448018424,6150.907482402166,9714.816704273224,13363.57499046065,25887.380859375,7723.9501953125
2019-03-20,3734.5845093613293,460.53344916760034,6111.935928104445,9676.178416967392,13176.05570280971,25745.669921875,7728.97021484375
2019-03-21,3703.902537952583,463.34633020524024,6146.906146791589,9712.916390495142,13199.200310493703,25962.509765625,7838.9599609375
2019-03-22,3709.936842243187,463.43031284908636,5994.539816432865,9465.25241372583,12926.756020450266,25502.3203125,7642.669921875
2019-03-25,3634.8441197260386,453.0274715834637,5942.34597858187,9479.133372912474,12817.01856937143,25516.830078125,7637.5400390625
2019-03-26,3640.25601642014,446.76750806104593,6005.725534769474,9510.109669710278,12922.057014812715,25657.73046875,7691.52001953125
2019-03-27,3660.162581034003,450.1645364999422,5977.067145133624,9504.571740598883,12874.792695466778,25625.58984375,7643.3798828125
2019-03-28,3665.8652797094524,445.26525262652643,5959.538854188635,9515.059708256857,12858.689631489571,25717.4609375,7669.169921875
2019-03-29,3700.9989105705154,458.6987350883281,6008.6578431594535,9504.112869165256,12943.77074087446,25928.6796875,7729.31982421875
2019-04-01,3766.0544784548674,472.40559257595294,6067.085038793447,9529.352894230688,13111.689508942187,26258.419921875,7828.91015625
2019-04-02,3773.74712403229,473.41078267269756,6077.3984059003415,9659.422730459191,13172.10926125641,26179.130859375,7848.68994140625
2019-04-03,3820.5064390094485,478.4444531146145,6127.287138921209,9738.496740420233,13393.535763845313,26218.130859375,7895.5498046875
2019-04-04,3813.8839631618457,484.4616190929807,6145.108012235141,9753.45900517021,13482.853965164395,26384.630859375,7891.77978515625
2019-04-05,3822.757356032785,483.2341436751831,6147.5083488042,9738.32903974416,13481.983082950115,26424.990234375,7938.68994140625
2019-04-08,3831.874551957907,483.08148684327153,6139.1000239687855,9715.89892490086,13422.417295387713,26341.01953125,7953.8798828125
2019-04-09,3843.1138883803205,482.42306117969554,6119.475888025481,9700.326409691595,13339.52864731662,26150.580078125,7909.27978515625
2019-04-10,3841.0409958899227,483.09138839598717,6140.363660098519,9690.935316759686,13414.354010699317,26157.16015625,7964.240234375
2019-04-11,3807.9316635772693,475.02184237001336,6185.972523734091,9717.055188894272,13458.728768866278,26143.05078125,7947.35986328125
2019-04-12,3813.5125721029744,474.6038653859284,6196.455251987209,9709.895082729985,13512.825466836803,26412.30078125,7984.16015625
2019-04-15,3801.4616215948167,474.0701731820882,6227.64988153195,9730.341685029212,13588.993703859858,26384.76953125,7976.009765625
2019-04-16,3842.9828255212924,485.0542075564116,6250.121575831202,9787.604975739087,13680.455561642533,26452.66015625,8000.22998046875
2019-04-17,3840.768205018945,486.2197050457033,6277.961393569596,9747.292859207606,13714.771534910426,26449.5390625,7996.080078125
2019-04-18,3819.6078662078053,486.0331325859441,6304.23201624467,9727.21695574728,13807.801933703246,26559.5390625,7998.06005859375
2019-04-19,3819.31012225114,487.5892115032548,6274.325568419765,9721.09601728104,13737.93561817271,26535.294921875,8006.6650390625
2019-04-22,3820.3371058558114,479.61377035640163,6283.362358374288,9747.964871499902,13753.357794642565,26511.05078125,8015.27001953125
2019-04-23,3818.627123258658,476.7971834576635,6295.671875076136,9766.074299018423,13775.93455929216,26656.390625,8120.81982421875
2019-04-24,3800.53284414229,476.08353054377204,6258.766154746932,9667.101849605911,13820.724532036576,26597.05078125,8102.009765625
2019-04-25,3767.8095648235735,464.7928088135485,6198.743879255606,9593.624977572996,13699.390251710778,26462.080078125,8118.68017578125
2019-04-26,3774.4163354259217,457.7800830177148,6202.511941492208,9579.459326087497,13715.229568293318,26543.330078125,8146.39990234375
2019-04-29,3811.47759523522,454.22807572722724,6222.938433167234,9613.556255024741,13746.063740477432,26554.390625,8161.85009765625
2019-04-30,3786.1716957273875,449.5307396495444,6248.501618453767,9593.53408172715,13807.07864068891,26592.91015625,8095.39013671875
2019-05-01,3801.114446764286,444.98372992625076,6239.075476377824,9630.320163279888,13845.92497113347,26430.140625,8049.64013671875
2019-05-02,3817.0738726371183,440.5171224441728,6203.9892334720935,9595.744507810567,13827.909383616643,26307.7890625,8036.77001953125
2019-05-03,3835.5626089030393,436.07020742492745,6200.029174649622,9619.299047289067,13869.459978073835,26504.94921875,8164.0
2019-05-06,3723.6809587660223,431.6359797995974,6133.760309933219,9626.9818888187,13743.868152149953,26438.48046875,8123.2900390625
2019-05-07,3742.2281419233186,432.6676873656614,6044.236378967761,9510.741331756115,13546.102107402401,25965.08984375,7963.759765625
2019-05-08,3695.4284068556153,427.0598010410102,6062.860177195631,9502.339195132256,13630.638862146065,25967.330078125,7943.31982421875
2019-05-09,3607.37867055845,420.3707184247903,5949.853937824722,9378.285309845814,13408.794860919239,25828.359375,7910.58984375
2019-05-10,3637.8999227714366,430.5589886102825,5978.498257981788,9371.243157255463,13533.643533594673,25942.369140625,7916.93994140625
2019-05-13,3610.5261431019885,425.57092578030984,5913.265642635408,9320.453029831406,13345.15095291892,25324.990234375,7647.02001953125
2019-05-14,3582.924946399055,419.2940748899671,5999.697007485665,9387.363425390446,13469.64456862025,25532.05078125,7734.490234375
2019-05-15,3601.476624322238,427.45027420669425,6021.5798510753075,9417.914007663727,13556.94216093514,25648.01953125,7822.14990234375
2019-05-16,3602.53034787497,429.9091129780281,6105.8298735193675,9447.42742151022,13796.532651111716,25862.6796875,7898.0498046875
2019-05-17,3560.4214858423197,418.76791851125,6076.438586588192,9404.522449587355,13675.252821782487,25764.0,7816.27978515625
2019-05-20,3540.1835559860315,414.96522915231594,5983.039419747423,9307.912932602281,13444.491007713717,25679.900390625,7702.3798828125
2019-05-21,3523.5071534772846,420.46631950863224,6014.787008834886,9329.047440043709,13562.515455187415,25877.330078125,7785.72021484375
2019-05-22,3529.790037533922,418.58122320788954,6004.031401086017,9311.97119155142,13582.779401324224,25776.609375,7750.83984375
2019-05-23,3473.9623801293483,413.08468540452645,5891.624467165326,9157.453760743141,13333.493119330611,25490.470703125,7628.27978515625
2019-05-24,3485.21213126066,412.9090566253579,5946.280377255287,9216.945263621164,13433.81557511515,25585.689453125,7637.009765625
2019-05-27,3476.9250174115878,419.2277329516219,5981.672000864055,9255.157063086224,13531.346962340176,25466.7294921875,7622.179931640625
2019-05-28,3489.5862949165157,421.8974347155199,5946.930251815474,9218.76965510845,13462.864784586944,25347.76953125,7607.35009765625
2019-05-29,3469.870858457985,421.8633343321562,5833.467283292208,9096.35252012487,13223.647347172257,25126.41015625,7547.31005859375
2019-05-30,3454.5165195802388,420.3148899016631,5845.8928686766885,9116.191110087559,13255.75842982973,25169.880859375,7567.72021484375
2019-05-31,3427.7635446029008,420.0460923915159,5796.689450866426,9030.692484840632,13053.317986099515,24815.0390625,7453.14990234375
2019-06-03,3431.577890707412,418.6036094051232,5856.837615154801,9081.233638708945,13177.353484430701,24819.779296875,7333.02001953125
2019-06-04,3415.1578844021997,414.65491968964835,5924.851637521293,9136.304366970551,13463.156501405407,25332.1796875,7527.1201171875
2019-06-05,3430.1908387836,414.25996211409796,5955.636707782745,9171.652690413175,13483.248160602408,25539.5703125,7575.47998046875
2019-06-06,3439.238306584301,409.3452617686051,5927.157472803083,9211.785212153336,13422.19914469344,25720.66015625,7615.5498046875
2019-06-07,3478.393168844718,411.05283407197015,6048.770882982994,9310.34852740122,13582.972895955436,25983.939453125,7742.10009765625
2019-06-10,3516.9345509198015,412.82565279476694,6093.074532747269,9383.826705873013,13698.06327162357,26062.6796875,7823.169921875
